NAME,ADDRESS_AB,longitude,latitude
Our Lady of Grace,736 Evanston Drive,-114.1204866,51.17933944
Bow Valley College,,-114.0561994,51.04769511
Niitsitapi Learning Centre,3743 Dover Ridge Drive S.W.,-113.9793371,51.02058871
Samuel W. Shaw,115 Shannon Drive S.W.,-114.0873756,50.90813212
Collingwood,3826 Collingwood Drive N.W.,-114.1032575,51.08578192
Glenmore Christian Academy Junior High,16520-24 Street SW,-114.1152537,50.90397951
Sherwood,2011 - 66 Avenue S.E.,-114.0114784,50.99369668
Mountain View Academy,3915 34 Street NE,-113.9861039,51.0884378
Elboya,4804 - 6 Street S.W.,-114.0782137,51.01088338
Western Canada High,641 - 17 Avenue S.W.,-114.0775476,51.03699475
Marion Carson,5225 Varsity Drive N.W.,-114.1614063,51.09291658
Glendale,2415 Kelwood Drive S.W.,-114.14558,51.03246723
Ranchlands,610 Ranchlands Boulevard N.W.,-114.1792097,51.11870483
Sunalta,536 Sonora Avenue S.W.,-114.1108977,51.0413434
Varsity Acres,4255 40 Street NW,-114.1482182,51.09101439
Ecole de la Rose Sauvage,2512 - 4 Street N.W.,-114.0703034,51.07484465
Bearspaw Christian School & College,15001 - 69 Street NW,-114.189516,51.18697362
Lester B. Pearson High,3020 - 52 Street N.E.,-113.9563976,51.07694992
Nelson Mandela High,45 Saddletowne Circle NE,-113.9488457,51.12198057
Altadore,4506 - 16 Street S.W.,-114.0997332,51.01400266
St. Thomas Aquinas,4540 - 26 Avenue S.W.,-114.1518544,51.03097219
Sibylla Kiddle,126 Cranford Drive SE,-113.9708023,50.87786254
Dr. Gladys McKelvie Egbert,6033 Madigan Dr. NE,-113.9415291,51.05889221
North Haven,4922 North Haven Drive N.W.,-114.0866128,51.09750908
Dr. Freda Miller,2511 Fish Creek Blvd,-114.1160186,50.92085045
St. Maria Goretti Elementary,375 Hawkstone Drive N.W.,-114.1777507,51.13452422
St. Philip,13825 Parkside Drive S.E.,-114.0382746,50.92788262
Keeler,4807 Forego Avenue S.E.,-113.9648131,51.04925682
John G Diefenbaker High,6620 - 4 Street N.W.,-114.0701312,51.11279744
Glenmeadows,4931 Grove Hill Road S.W.,-114.1589291,51.0348618
Discovering Choices 2,#92 116 3800 Memorial Dr NE,-113.9784098,51.05533875
Canyon Meadows,395 Canterbury Drive S.W.,-114.0780912,50.94741036
